,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
62,62,3555.294189453125,2022-11-12 15:46:51.454063,2022-11-12 18:06:12.023810,0 days 02:19:20.569747,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.00047185548777073724,medium,0.05481916630557919,ornstein-uhlenbeck,0.02,4,COMPLETE
63,63,3870.844970703125,2022-11-12 18:06:12.023810,2022-11-12 21:14:45.385445,0 days 03:08:33.361635,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.99,0.009457186482217354,medium,0.039138298545767246,ornstein-uhlenbeck,0.05,128,COMPLETE
64,64,57.44124221801758,2022-11-12 21:14:45.385445,2022-11-12 21:29:21.047079,0 days 00:14:35.661634,<class 'torch.nn.modules.activation.ELU'>,64,10000,0.995,0.008902123741301246,medium,0.03423584522430083,ornstein-uhlenbeck,0.01,128,PRUNED
65,65,524.8974609375,2022-11-12 21:29:21.049117,2022-11-12 21:43:43.223427,0 days 00:14:22.174310,<class 'torch.nn.modules.activation.ELU'>,16,10000,0.99,0.0023710238758913567,medium,0.0006528947121863505,ornstein-uhlenbeck,0.05,128,PRUNED
66,66,-3027.757568359375,2022-11-12 21:43:43.223427,2022-11-12 22:07:22.851618,0 days 00:23:39.628191,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.98,0.015381976626106955,medium,0.16881283079913956,ornstein-uhlenbeck,0.08,128,PRUNED
67,67,4105.490234375,2022-11-12 22:07:22.851618,2022-11-12 23:37:37.285043,0 days 01:30:14.433425,<class 'torch.nn.modules.activation.ELU'>,100,10000,0.95,0.0008099774605613296,medium,0.4553450767832294,ornstein-uhlenbeck,0.05,1,COMPLETE
68,68,1069.2509765625,2022-11-12 23:37:37.285043,2022-11-12 23:52:33.870110,0 days 00:14:56.585067,<class 'torch.nn.modules.activation.ELU'>,100,10000,0.95,0.0009828088951427338,medium,0.6120743390684722,normal,0.01,1,PRUNED
69,69,128.12863159179688,2022-11-12 23:52:33.878169,2022-11-13 00:07:04.317272,0 days 00:14:30.439103,<class 'torch.nn.modules.activation.Tanh'>,100,10000,0.95,0.0006145752003663916,medium,0.3885776213810936,ornstein-uhlenbeck,0.001,1,PRUNED
70,70,3423.0576171875,2022-11-13 00:07:04.317272,2022-11-13 01:13:22.100930,0 days 01:06:17.783658,<class 'torch.nn.modules.activation.ReLU'>,100,10000,0.95,0.00013402007940425137,medium,0.31808648962392516,ornstein-uhlenbeck,0.05,1,PRUNED
71,71,-7113.7548828125,2022-11-13 01:13:22.100930,2022-11-13 01:35:07.465919,0 days 00:21:45.364989,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.95,0.004640208671658622,medium,0.46611130511815174,ornstein-uhlenbeck,0.05,8,PRUNED
72,72,-398.2680969238281,2022-11-13 01:35:07.465919,2022-11-13 01:57:19.461948,0 days 00:22:11.996029,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.999,0.00038068543147596034,medium,0.44748709217245897,ornstein-uhlenbeck,0.05,16,PRUNED
73,73,213.39627075195312,2022-11-13 01:57:19.461948,2022-11-13 02:13:33.971548,0 days 00:16:14.509600,<class 'torch.nn.modules.activation.ELU'>,100,10000,0.9999,0.02696723204571929,medium,0.04049633707916093,ornstein-uhlenbeck,0.05,256,PRUNED
74,74,3602.59765625,2022-11-13 02:13:33.971548,2022-11-13 03:40:05.519599,0 days 01:26:31.548051,<class 'torch.nn.modules.activation.ELU'>,32,10000,0.99,0.00093342958112275,medium,0.5170612231473595,ornstein-uhlenbeck,0.05,128,COMPLETE
75,75,-123.05729675292969,2022-11-13 03:40:05.519599,2022-11-13 03:56:04.965092,0 days 00:15:59.445493,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0032334872478969553,small,0.07544166254401209,ornstein-uhlenbeck,0.05,1,PRUNED
76,76,545.5460205078125,2022-11-13 03:56:04.965092,2022-11-13 04:11:58.106160,0 days 00:15:53.141068,<class 'torch.nn.modules.activation.ELU'>,256,10000,0.95,0.006479196122623248,medium,0.24088534788845295,ornstein-uhlenbeck,0.005,256,PRUNED
77,77,307.06463623046875,2022-11-13 04:11:58.106160,2022-11-13 04:34:21.974226,0 days 00:22:23.868066,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0021427039298105906,medium,0.13108624884671863,ornstein-uhlenbeck,0.01,64,PRUNED
