,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
67,67,483.8193359375,2022-10-21 14:37:01.719558,2022-10-21 14:50:21.846556,0 days 00:13:20.126998,elu,128,0.3,0.002538161923557473,1.0,0.9,0.00021518197891714434,0.43360668719618195,0.3,5,128,small,True,128,0.6724554519331696,PRUNED
68,68,-30.1048526763916,2022-10-21 14:50:21.854630,2022-10-21 15:04:51.621313,0 days 00:14:29.766683,leaky_relu,256,0.1,0.024343803358328794,0.92,0.995,9.714399751523787e-05,0.051152000520685914,0.9,10,32,big,False,-1,0.9232819468241763,PRUNED
69,69,82.31747436523438,2022-10-21 15:04:51.629355,2022-10-21 15:28:28.057435,0 days 00:23:36.428080,elu,512,0.3,0.006309184187276896,0.8,0.9,0.03757478117997384,-0.6245346522748382,2.0,20,16,big,False,64,0.7575242974484541,PRUNED
70,70,2488.66259765625,2022-10-21 15:28:28.059474,2022-10-21 16:55:24.518807,0 days 01:26:56.459333,tanh,16,0.2,4.2988210507074956e-05,1.0,0.999,0.00340574284632391,0.892418494749816,0.6,5,8,small,True,256,0.37268879499940355,COMPLETE
71,71,3117.01416015625,2022-10-21 16:55:24.518807,2022-10-21 18:20:01.624300,0 days 01:24:37.105493,elu,32,0.2,0.03627946025112772,0.99,0.9,0.006373397984556454,-0.11807884770116822,0.3,5,32,medium,False,256,0.6522471518407043,COMPLETE
72,72,-504.38555908203125,2022-10-21 18:20:01.632387,2022-10-21 18:34:03.806898,0 days 00:14:02.174511,elu,32,0.2,0.012735320537948956,0.99,0.9,0.005374570252787653,-0.10015531864745719,0.3,5,32,medium,False,256,0.8650342442159443,PRUNED
73,73,160.05307006835938,2022-10-21 18:34:03.814944,2022-10-21 18:48:09.464170,0 days 00:14:05.649226,elu,32,0.2,0.09785708424882399,0.99,0.9,0.014126577879495773,-1.6813229812845267,0.3,5,32,medium,False,256,0.593289202973784,PRUNED
74,74,-1914.4508056640625,2022-10-21 18:48:09.464170,2022-10-21 19:02:00.339599,0 days 00:13:50.875429,elu,32,0.2,0.03688285509228545,0.99,0.9,0.0020706083170429963,0.308333480934119,0.7,5,32,medium,False,256,0.7036353315920336,PRUNED
75,75,290.20697021484375,2022-10-21 19:02:00.339599,2022-10-21 19:19:06.089555,0 days 00:17:05.749956,elu,256,0.2,0.05687898066157752,0.99,0.9,5.2731915724471654e-05,-0.29911844614423233,0.3,20,16,medium,False,256,0.6507135091233605,PRUNED
76,76,-352.65325927734375,2022-10-21 19:19:06.097609,2022-10-21 19:32:50.004324,0 days 00:13:43.906715,elu,32,0.3,0.01758259720082691,0.92,0.995,0.0010621010983480291,0.5884322915419513,2.0,5,32,medium,False,64,0.8215641693656759,PRUNED
77,77,285.2103271484375,2022-10-21 19:32:50.004324,2022-10-21 20:01:26.556190,0 days 00:28:36.551866,relu,16,0.4,0.009393708654984245,1.0,0.9999,0.008296092930327681,-0.5346832540165667,0.3,10,512,big,False,256,0.3284600989709974,PRUNED
78,78,-1028.47216796875,2022-10-21 20:01:26.556190,2022-10-21 20:14:49.452647,0 days 00:13:22.896457,tanh,256,0.1,0.0014083081438198866,0.99,0.9,0.014303705442636976,0.6707888364983758,1.0,1,16,big,False,32,0.48280377675708924,PRUNED
79,79,-320.4024963378906,2022-10-21 20:14:49.460686,2022-10-21 20:28:59.314648,0 days 00:14:09.853962,elu,32,0.3,0.02449825043001705,0.9,0.999,1.6495285222594702e-05,0.9674740304501427,0.5,5,64,medium,True,8,0.5539052031387428,PRUNED
80,80,-719.1754150390625,2022-10-21 20:28:59.314648,2022-10-21 20:43:16.043650,0 days 00:14:16.729002,leaky_relu,64,0.2,0.0032793507790249503,0.99,0.99,2.8281627134414887e-05,-1.9331979047705103,2.0,20,1024,big,False,16,0.7442706838452278,PRUNED
81,81,282.65704345703125,2022-10-21 20:43:16.043650,2022-10-21 20:57:19.078281,0 days 00:14:03.034631,elu,32,0.2,0.037296074108953366,0.99,0.9,0.004709935374411382,0.14639517868758278,0.3,5,32,medium,False,256,0.6714991516416994,PRUNED
82,82,-1777.44873046875,2022-10-21 20:57:19.078281,2022-10-21 21:11:15.279138,0 days 00:13:56.200857,elu,32,0.2,0.05033149749291079,0.99,0.9,0.007537433377198643,-0.8348969748213466,0.3,5,32,medium,False,256,0.7886618614655116,PRUNED
83,83,3487.97021484375,2022-10-21 21:11:15.279138,2022-10-21 22:35:43.202224,0 days 01:24:27.923086,elu,32,0.2,0.016555897655193358,0.99,0.9,0.02727621787989148,0.10501192861930418,0.3,5,32,medium,False,256,0.6499853706097342,COMPLETE
84,84,-6298.01318359375,2022-10-21 22:35:43.202224,2022-10-21 22:49:40.990295,0 days 00:13:57.788071,elu,32,0.2,0.010684250944971269,0.99,0.9,0.026805778842564257,-0.15373784731986517,0.3,5,32,medium,False,256,0.6130256723212009,PRUNED
85,85,318.8299255371094,2022-10-21 22:49:40.990295,2022-10-21 23:00:00.302873,0 days 00:10:19.312578,elu,8,0.3,0.005521548636789359,0.98,0.9,0.11605328645750208,0.4433286520705484,0.6,5,32,medium,False,256,0.6890513111758636,PRUNED
86,86,472.1961669921875,2022-10-21 23:00:00.302873,2022-10-21 23:13:27.722838,0 days 00:13:27.419965,elu,32,0.2,0.019690331008345024,0.95,0.95,0.05073000461214795,0.013450653105464616,0.8,5,256,small,False,64,0.5353300417315958,PRUNED
87,87,1681.895751953125,2022-10-21 23:13:27.722838,2022-10-22 01:02:03.725102,0 days 01:48:36.002264,tanh,16,0.1,0.00025868202456820445,0.92,0.98,0.0027434701814677506,0.7775781615153249,0.3,20,16,big,False,128,0.7118419072196153,PRUNED
88,88,-5075.564453125,2022-10-22 01:02:03.733140,2022-10-22 01:15:40.438443,0 days 00:13:36.705303,elu,128,0.3,0.0004324660204494,1.0,0.9,0.017859467004885866,-2.3008316210998783,5.0,5,128,medium,False,256,0.5873838576133471,PRUNED
89,89,45.574974060058594,2022-10-22 01:15:40.438443,2022-10-22 01:39:20.957297,0 days 00:23:40.518854,elu,256,0.3,0.07091525346305548,0.99,0.995,0.03117853529129722,0.31516209301926246,2.0,10,8,big,False,-1,0.6416495262834974,PRUNED
90,90,-320.76153564453125,2022-10-22 01:39:20.965360,2022-10-22 01:53:05.386301,0 days 00:13:44.420941,tanh,512,0.2,0.007797452477347138,0.8,0.9,0.08037657610892153,0.5937752588107159,0.3,5,32,big,True,256,0.09730824369435415,PRUNED
91,91,-8290.400390625,2022-10-22 01:53:05.386301,2022-10-22 02:07:00.321955,0 days 00:13:54.935654,elu,32,0.2,0.031063503441623504,0.99,0.9,0.0063344495496144,0.11641944511593848,0.3,5,32,medium,False,256,0.6636588677387029,PRUNED
92,92,-9627.037109375,2022-10-22 02:07:00.321955,2022-10-22 02:20:58.756250,0 days 00:13:58.434295,elu,32,0.2,0.01401157654637985,0.99,0.9,0.008741125208807975,0.5113498398462456,0.3,5,32,medium,False,256,0.6168770260590365,PRUNED
93,93,-2270.497802734375,2022-10-22 02:20:58.756250,2022-10-22 02:35:11.338937,0 days 00:14:12.582687,elu,32,0.2,0.044026011250162506,0.99,0.9,0.01323874231477759,-0.34925347709090115,0.3,5,32,medium,False,256,0.777593715116269,PRUNED
94,94,35.37626647949219,2022-10-22 02:35:11.338937,2022-10-22 02:48:49.736263,0 days 00:13:38.397326,elu,32,0.2,0.019367186600106986,0.99,0.9,0.022972060996968753,-0.09925353787299096,0.3,5,2048,medium,False,256,0.7381641512687883,PRUNED
95,95,350.29547119140625,2022-10-22 02:48:49.744311,2022-10-22 03:05:52.601011,0 days 00:17:02.856700,elu,16,0.4,0.029589289205026,1.0,0.999,4.3272237483214885e-05,0.3775879141173239,0.9,20,16,medium,False,64,0.812731936638774,PRUNED
96,96,735.6616821289062,2022-10-22 03:05:52.601011,2022-10-22 03:19:29.537223,0 days 00:13:36.936212,relu,32,0.3,0.0036910136387188243,0.92,0.9,0.004206841788718217,0.2082502223976463,2.0,5,32,small,False,256,0.5120505717299919,PRUNED
97,97,-2408.69970703125,2022-10-22 03:19:29.537223,2022-10-22 03:33:13.018838,0 days 00:13:43.481615,elu,256,0.1,0.09845021200526842,0.99,0.9999,0.0018479289147676826,0.10893539596294562,0.6,1,8,big,False,16,0.5565816755645779,PRUNED
98,98,239.4761505126953,2022-10-22 03:33:13.018838,2022-10-22 03:49:33.549435,0 days 00:16:20.530597,elu,16,0.3,0.06215174589773161,1.0,0.9,0.037716645758937004,0.6810237849220226,0.7,10,16,medium,True,256,0.7194076573079646,PRUNED
