,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
67,67,-2306.699462890625,2022-11-01 22:50:53.989832,2022-11-01 23:26:18.251350,0 days 00:35:24.261518,leaky_relu,128,0.4,1.1139721765839899e-08,0.95,0.95,0.005323552756746052,-2.4534028626251376,0.8,20,64,small,True,8,0.7642146388424487,PRUNED
68,68,-1390.6708984375,2022-11-01 23:26:18.259397,2022-11-01 23:47:11.009005,0 days 00:20:52.749608,leaky_relu,128,0.2,0.0018110703769750576,1.0,0.999,0.007835870503283288,-2.002286489093957,0.6,20,8,medium,True,64,0.4402239597090806,PRUNED
69,69,-623.5025634765625,2022-11-01 23:47:11.017046,2022-11-02 00:01:08.434656,0 days 00:13:57.417610,relu,32,0.1,0.0002779917387841175,0.92,0.995,0.0006749407911566436,-2.2238661591677253,0.7,10,256,small,False,32,0.030868620702706254,PRUNED
70,70,-600.3797607421875,2022-11-02 00:01:08.434656,2022-11-02 00:15:01.175350,0 days 00:13:52.740694,leaky_relu,128,0.3,0.005944278821319916,1.0,0.99,0.014588906572800165,-1.0043054361240404,0.3,20,1024,small,True,256,0.5040802107745184,PRUNED
71,71,593.833740234375,2022-11-02 00:15:01.175350,2022-11-02 02:06:36.566767,0 days 01:51:35.391417,leaky_relu,128,0.2,0.00045150030836222364,0.98,0.95,0.00048500000900769473,-1.7647034728946123,0.6,20,8,small,True,64,0.08855898996463903,COMPLETE
72,72,-553.681884765625,2022-11-02 02:06:36.566767,2022-11-02 02:24:52.572312,0 days 00:18:16.005545,leaky_relu,128,0.2,0.0009819688938039232,0.98,0.95,0.0003406249038725152,-2.5551116272256302,0.6,20,8,small,True,64,0.58018198359719,PRUNED
73,73,-621.550048828125,2022-11-02 02:24:52.574372,2022-11-02 02:39:30.593474,0 days 00:14:38.019102,leaky_relu,128,0.2,0.002804175655492573,0.98,0.95,0.00020137180842998674,-3.169948082986572,0.6,20,32,small,True,64,0.11789342100604999,PRUNED
74,74,415.2989501953125,2022-11-02 02:39:30.593474,2022-11-02 04:29:59.966920,0 days 01:50:29.373446,leaky_relu,64,0.2,6.428390272197925e-05,0.98,0.95,0.0009001454821501975,-1.3761515199202832,0.6,20,8,small,True,64,0.2451248780145886,COMPLETE
75,75,697.4658203125,2022-11-02 04:29:59.966920,2022-11-02 06:20:12.073038,0 days 01:50:12.106118,leaky_relu,128,0.2,0.004442102779745186,0.8,0.95,0.00135211533156699,-1.591192116673607,0.3,20,8,small,True,64,0.8607901649018318,COMPLETE
76,76,-2318.51611328125,2022-11-02 06:20:12.075070,2022-11-02 06:38:35.901618,0 days 00:18:23.826548,leaky_relu,16,0.2,0.010153911294538494,0.8,0.95,0.002586508825581784,-1.6211625144833377,0.3,20,2048,big,True,64,0.8716175370949357,PRUNED
77,77,2090.926513671875,2022-11-02 06:38:35.901618,2022-11-02 08:06:59.468616,0 days 01:28:23.566998,tanh,128,0.2,0.004754001603819027,0.8,0.99,0.0013082666825555936,-0.8016569868181493,0.3,5,8,small,False,16,0.8407932905073572,COMPLETE
78,78,2394.303955078125,2022-11-02 08:06:59.468616,2022-11-02 09:35:20.944109,0 days 01:28:21.475493,tanh,512,0.1,0.020873815288974747,0.8,0.99,0.0013038337392969528,0.02087900935665421,0.3,5,8,small,False,16,0.8341486957289944,COMPLETE
79,79,504.7166748046875,2022-11-02 09:35:20.946150,2022-11-02 10:56:39.242532,0 days 01:21:18.296382,tanh,512,0.2,0.02128513146839342,0.8,0.99,0.0013120126896598602,0.3647440365321815,0.3,5,256,small,False,16,0.8512429660253706,COMPLETE
80,80,-2579.19140625,2022-11-02 10:56:39.242532,2022-11-02 12:25:16.230771,0 days 01:28:36.988239,tanh,512,0.3,0.05071477244846151,0.8,0.99,0.00406864985306976,-0.6342752994694854,0.3,5,8,small,False,16,0.780049152042087,COMPLETE
81,81,2724.017333984375,2022-11-02 12:25:16.230771,2022-11-02 13:54:02.357032,0 days 01:28:46.126261,tanh,512,0.1,0.004569034426630095,0.8,0.99,0.0010553559311956718,-0.06380577990690384,0.3,5,8,small,False,16,0.820048759987375,COMPLETE
82,82,2327.73583984375,2022-11-02 13:54:02.357032,2022-11-02 15:22:00.775498,0 days 01:27:58.418466,tanh,512,0.1,0.01130628910413692,0.8,0.99,0.0018006267958939643,0.7532768009712081,0.3,5,8,small,False,16,0.8180528284386797,COMPLETE
83,83,2128.57421875,2022-11-02 15:22:00.775498,2022-11-02 16:49:49.399602,0 days 01:27:48.624104,tanh,512,0.1,0.010568510060315598,0.8,0.99,0.0007724477619395868,-0.08179761265593247,0.3,5,8,small,False,16,0.8246775913730887,COMPLETE
84,84,2404.566162109375,2022-11-02 16:49:49.399602,2022-11-02 18:18:09.291753,0 days 01:28:19.892151,tanh,512,0.1,0.01247726836934551,0.8,0.99,0.0021647434289567453,-0.13244253803530598,0.3,5,8,small,False,16,0.8133802816997348,COMPLETE
85,85,-395.2293701171875,2022-11-02 18:18:09.291753,2022-11-02 18:31:43.321556,0 days 00:13:34.029803,tanh,512,0.1,0.021407023487155914,0.8,0.99,0.0007429055834077544,-0.021610442765822926,0.3,5,128,small,False,16,0.809816763317066,PRUNED
86,86,-2074.716064453125,2022-11-02 18:31:43.321556,2022-11-02 19:55:57.526514,0 days 01:24:14.204958,tanh,512,0.1,0.08055829412734015,0.8,0.99,0.0019836420115054037,0.8608192607156838,0.3,5,16,small,False,16,0.9540434977158393,COMPLETE
87,87,109.9295883178711,2022-11-02 19:55:57.528551,2022-11-02 20:11:08.391291,0 days 00:15:10.862740,tanh,512,0.1,0.008391550848804536,0.8,0.99,0.0031500299518485214,0.03627710417795704,0.3,5,8,medium,False,16,0.7302367229488487,PRUNED
88,88,-445.9615173339844,2022-11-02 20:11:08.391317,2022-11-02 20:24:38.765617,0 days 00:13:30.374300,tanh,512,0.1,0.03845459187183949,0.8,0.99,0.0016284699660701022,-0.27720875344456564,0.3,5,512,small,False,16,0.8148015404851856,PRUNED
89,89,-282.3345031738281,2022-11-02 20:24:38.767657,2022-11-02 20:38:14.872448,0 days 00:13:36.104791,tanh,512,0.1,0.004895683583412221,0.8,0.99,0.000944711112183698,0.5490858380660852,0.3,5,256,small,False,16,0.8901549575911201,PRUNED
90,90,2199.53173828125,2022-11-02 20:38:14.880533,2022-11-02 22:06:44.830883,0 days 01:28:29.950350,tanh,512,0.1,0.016992788066491866,0.8,0.99,0.0010878144191203006,0.2797226918699578,0.3,5,8,small,False,16,0.92417825727518,COMPLETE
91,91,2156.00830078125,2022-11-02 22:06:44.838923,2022-11-02 23:34:47.984735,0 days 01:28:03.145812,tanh,512,0.1,0.01698396476354526,0.8,0.99,0.002247473466222085,0.40448397009584003,0.3,5,8,small,False,16,0.949944999768148,COMPLETE
92,92,2388.021484375,2022-11-02 23:34:47.984735,2022-11-03 01:03:08.782823,0 days 01:28:20.798088,tanh,512,0.1,0.015127598340012365,0.8,0.99,0.0022717939718598906,0.2732223419102527,0.3,5,8,small,False,16,0.936329901430659,COMPLETE
93,93,2367.66943359375,2022-11-03 01:03:08.782823,2022-11-03 02:31:56.139664,0 days 01:28:47.356841,tanh,512,0.1,0.018048965407122378,0.8,0.99,0.0011670039531394302,0.25959827141261776,0.3,5,8,small,False,16,0.9300691776266999,COMPLETE
94,94,2369.26123046875,2022-11-03 02:31:56.147703,2022-11-03 04:00:31.331634,0 days 01:28:35.183931,tanh,512,0.1,0.016933832865377873,0.8,0.99,0.0022362629484986097,0.2927057664843096,0.3,5,8,small,False,16,0.9325795373011904,COMPLETE
95,95,2409.3486328125,2022-11-03 04:00:31.339672,2022-11-03 05:28:45.027224,0 days 01:28:13.687552,tanh,512,0.1,0.0148345374655034,0.8,0.99,0.0022590528769936558,0.32225194410654034,0.3,5,8,small,False,16,0.9267123779700887,COMPLETE
96,96,2232.10888671875,2022-11-03 05:28:45.029257,2022-11-03 06:57:01.470349,0 days 01:28:16.441092,tanh,512,0.1,0.01758341248848585,0.8,0.99,0.0022409119571457237,0.2657574564053269,0.3,5,8,small,False,16,0.9355922113812672,COMPLETE
97,97,2350.17822265625,2022-11-03 06:57:01.472387,2022-11-03 08:26:12.985952,0 days 01:29:11.513565,tanh,512,0.1,0.02964165641654818,0.8,0.99,0.0017933793239015047,0.21248210107368182,0.3,5,8,small,False,16,0.9492752726089261,COMPLETE
