time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
12975,37,490496,7664,0.000112868845,46474.5078125,0.7695968747138977,38315,0.2,13392.4423828125,-0.0019296483136713506,643.2973022460938,0.0,-78.89785995483399,0.0013647642264479798,96.0,2639.1643
12976,37,490560,7665,6.335508e-05,27531.87741699219,0.8466997593641281,38320,0.2,2571.320556640625,-0.0015950774773955344,644.255126953125,0.0,-78.90757293701172,0.0013647642264479798,96.0,2639.1643
12978,37,490624,7666,9.7820535e-05,26936.891760253908,0.903526708483696,38325,0.2,1434.4571533203125,-0.0014760134741663932,645.541259765625,0.0,-78.92307052612304,0.0013647642264479798,96.0,2639.1643
12980,37,490688,7667,4.547462e-05,104014.53806152343,-0.2844644784927368,38330,0.2,23301.69921875,-0.0006842848379164934,646.586669921875,0.0,-78.94167366027833,0.0013647642264479798,96.0,2639.1643
12982,37,490752,7668,0.00016514491,6929.034509277344,0.8078097552061081,38335,0.2,1379.8521728515625,-0.002185064647346735,650.3521118164062,0.0,-78.96270713806152,0.0013647642264479798,96.0,2670.5903
12983,37,490816,7669,0.0010913191,10633.27188720703,-2.6909875869750977,38340,0.2,1518.675048828125,-0.006434622220695019,653.96630859375,0.0,-79.00441246032715,0.0013647642264479798,96.0,2670.5903
12985,37,490880,7670,0.00076242536,12073.859643554688,0.22363054752349854,38345,0.2,1799.3427734375,-0.0046894727274775505,658.5086669921875,0.0,-79.00677909851075,0.0013647642264479798,96.0,2670.5903
12987,37,490944,7671,0.00042736065,22679.09978027344,0.6309061050415039,38350,0.2,2408.59619140625,-0.0019490480422973632,660.9535522460938,0.0,-79.01213989257812,0.0013647642264479798,96.0,2670.5903
12988,37,491008,7672,1.9939616e-05,96312.294140625,0.24626439809799194,38355,0.2,23313.482421875,-0.00031339717097580435,661.6510620117188,0.0,-79.02083930969238,0.0013647642264479798,96.0,2670.5903
12990,37,491072,7673,6.1243773e-06,42437.551513671875,0.7056291401386261,38360,0.2,7123.267578125,-0.000369831221178174,662.0203857421875,0.0,-79.022660446167,0.0013647642264479798,96.0,2670.5903
